Our operation cost, step 20 and step 10:

39	29	25	24	23	25	25	26	26	27	28	30	32	35	37	43	54	76	138	
29	29	26	25	23	25	26	26	26	27	28	31	33	36	38	46	56	79	134	
25	26	27	25	26	25	26	27	28	28	30	32	34	37	42	47	59	78	137	
24	25	25	27	26	26	28	27	28	31	31	33	36	38	43	50	60	81	142	
23	23	26	26	27	27	28	28	29	31	32	34	37	39	45	51	62	83	149	
25	25	25	26	27	28	29	30	31	32	34	36	38	42	46	53	65	88	160	
25	26	26	28	28	29	30	32	32	33	35	38	40	44	49	56	68	94	171	
26	26	27	27	28	30	32	33	34	35	38	40	43	46	50	59	73	100	184	
26	26	28	28	29	31	32	34	36	38	39	42	44	48	53	62	78	107	198	
27	27	28	31	31	32	33	35	38	40	42	43	47	51	58	68	83	116	216	
28	28	30	31	32	34	35	38	39	42	44	47	50	55	61	73	91	127	238	
30	31	32	33	34	36	38	40	42	43	47	50	55	60	67	80	100	142	267	
32	33	34	36	37	38	40	43	44	47	50	55	59	66	75	89	112	160	303	
35	36	37	38	39	42	44	46	48	51	55	60	66	74	84	100	128	184	350	
37	38	42	43	45	46	49	50	53	58	61	67	75	84	98	118	151	216	416	
43	46	47	50	51	53	56	59	62	68	73	80	89	100	118	144	185	268	517	
54	56	59	60	62	65	68	73	78	83	91	100	112	128	151	185	242	352	686	
76	79	78	81	83	88	94	100	107	116	127	142	160	184	216	268	352	523	1023	
138	134	137	142	149	160	171	184	198	216	238	267	303	350	416	517	686	1023 2033

58	38	32	28	26	25	24	23	24	23	23	22	24	25	25	26	25	25	26	26	27	27	28	30	31	32	32	32	35	37	40	43	47	53	61	73	94	136	258	
38	39	32	29	26	25	24	24	24	23	23	25	24	25	25	26	25	26	26	27	27	28	28	30	31	32	32	35	35	37	40	43	48	54	62	76	96	138	244	
32	32	32	29	27	25	25	24	24	23	23	25	24	25	26	26	26	26	26	27	27	28	30	31	31	32	33	35	36	38	41	44	49	55	64	77	98	134	242	
28	29	29	29	27	26	25	25	24	23	25	25	24	26	26	26	27	26	27	27	28	28	30	31	32	33	33	36	37	38	42	46	50	56	65	79	97	134	244	
26	26	27	27	28	27	26	25	24	26	25	25	25	26	26	27	27	27	27	27	28	30	30	31	32	33	35	36	38	41	42	47	52	58	67	78	97	134	249	
25	25	25	26	27	27	26	25	26	26	25	25	26	26	26	27	27	28	27	28	28	30	31	32	33	34	35	37	38	42	44	47	53	59	67	78	97	137	254	
24	24	25	25	26	26	26	27	26	26	25	26	26	26	27	27	28	28	29	28	30	30	31	32	33	34	36	37	39	42	45	49	54	59	67	79	99	139	260	
23	24	24	25	25	25	27	27	27	26	27	26	26	28	27	27	28	28	29	31	30	31	32	33	34	36	36	38	41	43	47	50	55	60	68	81	100	142	267	
24	24	24	24	24	26	26	27	27	27	27	26	27	28	27	28	28	29	29	31	31	31	32	33	34	36	37	39	41	44	48	51	55	61	69	82	103	146	275	
23	23	23	23	26	26	26	26	27	27	27	27	27	28	29	28	29	29	31	31	32	32	33	34	36	37	38	39	42	45	48	51	56	62	71	83	105	149	283	
